hero,opponent,games,wins,losses,win_rate,source
Cecilion,Arlott,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Cecilion,Claude,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Cecilion,Ling,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Cecilion,Valentina,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Natalia,Bruno,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Natalia,Hylos,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Natalia,Ling,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Natalia,Terizla,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Natalia,Vexana,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Paquito,Guinevere,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Paquito,Harith,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Paquito,Novaria,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Paquito,Roger,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Paquito,X.Borg,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Pharsa,Bane,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Pharsa,Natan,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Pharsa,Terizla,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Pharsa,Tigreal,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Pharsa,Yve,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Uranus,Grock,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Uranus,Hayabusa,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Uranus,Masha,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Uranus,Ruby,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Uranus,Zhask,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Yin,Chou,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Yin,Edith,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Yin,Harith,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Yin,Roger,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Yin,Valentina,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Cici,Chou,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
